Metric,Year,Value
Tax Effect Of Unusual Items,2024-09-30,0.0
Tax Rate For Calcs,2024-09-30,0.241
Normalized EBITDA,2024-09-30,134661000000.0
Net Income From Continuing Operation Net Minority Interest,2024-09-30,93736000000.0
Reconciled Depreciation,2024-09-30,11445000000.0
Reconciled Cost Of Revenue,2024-09-30,210352000000.0
EBITDA,2024-09-30,134661000000.0
EBIT,2024-09-30,123216000000.0
Net Interest Income,2024-09-30,
Interest Expense,2024-09-30,
Interest Income,2024-09-30,
Normalized Income,2024-09-30,93736000000.0
Net Income From Continuing And Discontinued Operation,2024-09-30,93736000000.0
Total Expenses,2024-09-30,267819000000.0
Total Operating Income As Reported,2024-09-30,123216000000.0
Diluted Average Shares,2024-09-30,15408095000.0
Basic Average Shares,2024-09-30,15343783000.0
Diluted EPS,2024-09-30,6.08
Basic EPS,2024-09-30,6.11
Diluted NI Availto Com Stockholders,2024-09-30,93736000000.0
Net Income Common Stockholders,2024-09-30,93736000000.0
Net Income,2024-09-30,93736000000.0
Net Income Including Noncontrolling Interests,2024-09-30,93736000000.0
Net Income Continuous Operations,2024-09-30,93736000000.0
Tax Provision,2024-09-30,29749000000.0
Pretax Income,2024-09-30,123485000000.0
Other Income Expense,2024-09-30,269000000.0
Other Non Operating Income Expenses,2024-09-30,269000000.0
Net Non Operating Interest Income Expense,2024-09-30,
Interest Expense Non Operating,2024-09-30,
Interest Income Non Operating,2024-09-30,
Operating Income,2024-09-30,123216000000.0
Operating Expense,2024-09-30,57467000000.0
Research And Development,2024-09-30,31370000000.0
Selling General And Administration,2024-09-30,26097000000.0
Gross Profit,2024-09-30,180683000000.0
Cost Of Revenue,2024-09-30,210352000000.0
Total Revenue,2024-09-30,391035000000.0
Operating Revenue,2024-09-30,391035000000.0
Tax Effect Of Unusual Items,2023-09-30,0.0
Tax Rate For Calcs,2023-09-30,0.147
Normalized EBITDA,2023-09-30,125820000000.0
Net Income From Continuing Operation Net Minority Interest,2023-09-30,96995000000.0
Reconciled Depreciation,2023-09-30,11519000000.0
Reconciled Cost Of Revenue,2023-09-30,214137000000.0
EBITDA,2023-09-30,125820000000.0
